Date,DateKey,DayOfWeek,DayOrder,DayType
2024-11-12,20241112,Tuesday,2,Weekday
2024-11-18,20241118,Monday,1,Weekday
2024-11-19,20241119,Tuesday,2,Weekday
2024-11-20,20241120,Wednesday,3,Weekday
2024-11-21,20241121,Thursday,4,Weekday
2024-11-22,20241122,Friday,5,Weekday
2024-11-23,20241123,Saturday,6,Weekend
2024-11-24,20241124,Sunday,7,Weekend
2024-11-25,20241125,Monday,1,Weekday
2024-11-26,20241126,Tuesday,2,Weekday
2024-11-27,20241127,Wednesday,3,Weekday
2024-11-28,20241128,Thursday,4,Weekday
2024-11-29,20241129,Friday,5,Weekday
2024-11-30,20241130,Saturday,6,Weekend
2024-12-01,20241201,Sunday,7,Weekend
2024-12-02,20241202,Monday,1,Weekday
2024-12-03,20241203,Tuesday,2,Weekday
2024-12-04,20241204,Wednesday,3,Weekday
2024-12-05,20241205,Thursday,4,Weekday
2024-12-06,20241206,Friday,5,Weekday
2024-12-07,20241207,Saturday,6,Weekend
2024-12-08,20241208,Sunday,7,Weekend
2024-12-09,20241209,Monday,1,Weekday
2024-12-10,20241210,Tuesday,2,Weekday
2024-12-11,20241211,Wednesday,3,Weekday
2024-12-12,20241212,Thursday,4,Weekday
2024-12-13,20241213,Friday,5,Weekday
2024-12-14,20241214,Saturday,6,Weekend
2024-12-15,20241215,Sunday,7,Weekend
2025-03-17,20250317,Monday,1,Weekday
2025-03-18,20250318,Tuesday,2,Weekday
2025-03-19,20250319,Wednesday,3,Weekday
2025-03-20,20250320,Thursday,4,Weekday
2025-03-21,20250321,Friday,5,Weekday
2025-03-22,20250322,Saturday,6,Weekend
2025-03-23,20250323,Sunday,7,Weekend
2025-03-24,20250324,Monday,1,Weekday
2025-03-25,20250325,Tuesday,2,Weekday
2025-03-26,20250326,Wednesday,3,Weekday
2025-03-27,20250327,Thursday,4,Weekday
2025-03-28,20250328,Friday,5,Weekday
2025-03-29,20250329,Saturday,6,Weekend
2025-03-30,20250330,Sunday,7,Weekend
2025-03-31,20250331,Monday,1,Weekday
2025-04-01,20250401,Tuesday,2,Weekday
2025-04-02,20250402,Wednesday,3,Weekday
2025-04-03,20250403,Thursday,4,Weekday
2025-04-04,20250404,Friday,5,Weekday
2025-04-05,20250405,Saturday,6,Weekend
2025-04-06,20250406,Sunday,7,Weekend
2025-04-22,20250422,Tuesday,2,Weekday
2025-04-23,20250423,Wednesday,3,Weekday
2025-04-24,20250424,Thursday,4,Weekday
2025-04-25,20250425,Friday,5,Weekday
2025-04-26,20250426,Saturday,6,Weekend
2025-04-27,20250427,Sunday,7,Weekend
2025-04-29,20250429,Tuesday,2,Weekday
2025-05-01,20250501,Thursday,4,Weekday
2025-05-02,20250502,Friday,5,Weekday
2025-05-03,20250503,Saturday,6,Weekend
2025-05-04,20250504,Sunday,7,Weekend
