StartHour,TimeKey,HourLabel,TimeBand,TimeBandOrder
0,1,00:00,00:00-06:00,1
1,2,01:00,00:00-06:00,1
2,3,02:00,00:00-06:00,1
3,4,03:00,00:00-06:00,1
4,5,04:00,00:00-06:00,1
5,6,05:00,00:00-06:00,1
6,7,06:00,06:00-10:00,2
7,8,07:00,06:00-10:00,2
8,9,08:00,06:00-10:00,2
9,10,09:00,06:00-10:00,2
10,11,10:00,10:00-15:00,3
11,12,11:00,10:00-15:00,3
12,13,12:00,10:00-15:00,3
13,14,13:00,10:00-15:00,3
14,15,14:00,10:00-15:00,3
15,16,15:00,15:00-19:00,4
16,17,16:00,15:00-19:00,4
17,18,17:00,15:00-19:00,4
18,19,18:00,15:00-19:00,4
19,20,19:00,19:00-24:00,5
20,21,20:00,19:00-24:00,5
21,22,21:00,19:00-24:00,5
22,23,22:00,19:00-24:00,5
23,24,23:00,19:00-24:00,5
