caseid,Trip number,Purpose_category,Date,Day of week,Start time - first hour,Main mode,Distance (km),Travel Time (minutes),Distance (miles) - rounded,Distance category,Origin eastings,Origin northings,Destination eastings,Destination northings,Travel time source (stated / calculated),Weight_2,trip_number_numeric,potential_duplicate_flag,date_day_mismatch_flag,distance_category_zero_flag,distance_category_review_flag,zero_distance_flag,mode_distance_review_flag,trip_internal_gap_flag,trip_starts_above_1_flag,valid_distance,distance_analysis_valid,valid_travel_time,travel_time_source,valid_od_geometry,same_origin_destination_flag,od_straight_line_km,reported_to_straight_line_ratio,spatial_distance_review_flag,origin_lta,destination_lta,od_scope,mode_group,distance_band,distance_band_order,start_hour,time_band,day_type,is_car_van,is_car_driver,is_car_passenger,is_active_wheeling,is_public_transport,is_short_trip,is_mid_distance_trip,is_short_car,is_mid_car,is_mid_public_transport,respondent_trip_count,validated_chain_member,short_car_chain_status,ModeKey,PurposeKey,DistanceKey,DateKey,TimeKey,OriginLTAKey,DestinationLTAKey
1364250234,$trip1pipe,leisure,2024-12-01,Sunday,16.0,Car/ van (as a passenger),15.970953,15.683031,9.5,4,622047.0,136985.0,631949.0,141425.0,stated,2.0594955236996464,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,10.851875598254894,1.4717228238930709,False,Kent,Kent,Within same LTA,Car / van,5 to <10 miles,4,16.0,15:00-19:00,Weekend,True,False,True,False,False,False,True,False,True,False,1,False,,1.0,4,4.0,20241201.0,17.0,6.0,6.0
6100899060,$trip1pipe,commute,2024-12-03,Tuesday,10.0,Car/ van (as the driver),1.533501,3.137636,1.0,1,629911.0,145266.0,630784.0,144547.0,stated,1.41949834136427,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,1.1309686114123592,1.3559182673380796,False,Kent,Kent,Within same LTA,Car / van,Under 1 mile,1,10.0,10:00-15:00,Weekday,True,True,False,False,False,True,False,True,False,False,1,False,Not identified in validated chain,2.0,2,1.0,20241203.0,11.0,6.0,6.0
6214662042,$trip1pipe,commute,2024-11-19,Tuesday,9.0,Car/ van (as the driver),10.393025,14.778132,6.5,4,576261.0,163356.0,576089.0,155877.0,stated,0.8908740951665672,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,7.480977543075504,1.3892602858592895,False,Medway,Kent,Between TfSE LTAs,Car / van,5 to <10 miles,4,9.0,06:00-10:00,Weekday,True,True,False,False,False,False,True,False,True,False,1,False,,2.0,2,4.0,20241119.0,10.0,7.0,6.0
6336063948,$trip1pipe,commute,2024-12-02,Monday,7.0,Walking,0.624208,7.490496,0.0,1,449436.0,95263.0,449853.0,95045.0,stated,0.4458576445130309,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,0.4705454282000835,1.3265626708726126,False,Isle of Wight,Isle of Wight,Within same LTA,Active / wheeling,Under 1 mile,1,7.0,06:00-10:00,Weekday,False,False,False,True,False,True,False,False,False,False,2,False,,15.0,2,1.0,20241202.0,8.0,5.0,5.0
6336063948,$trip2pipe,other,2024-12-02,Monday,17.0,Walking,0.0,0.0,0.0,0,449436.0,95263.0,449436.0,95263.0,stated,0.4458576445130309,2,False,False,True,False,True,False,False,False,False,False,False,stated,True,True,0.0,,False,Isle of Wight,Isle of Wight,Within same LTA,Active / wheeling,,0,17.0,15:00-19:00,Weekday,False,False,False,True,False,False,False,False,False,False,2,False,,15.0,5,,20241202.0,18.0,5.0,5.0
6364481318,$trip1pipe,business,2024-11-23,Saturday,15.0,Car/ van (as the driver),308.893141,190.200513,190.0,8,533800.0,158629.0,467991.0,384696.0,stated,1.0660809029424296,1,False,False,False,False,False,True,False,False,True,False,True,stated,True,False,235.45087166965428,1.3119218408899662,False,Surrey,Outside TfSE,Outbound,Car / van,100+ miles,8,15.0,15:00-19:00,Weekend,True,True,False,False,False,False,False,False,False,False,1,False,,2.0,1,8.0,20241123.0,16.0,13.0,8.0
6400853808,$trip1pipe,commute,2024-11-20,Wednesday,8.0,Car/ van (as the driver),10.924805,13.886261,6.5,4,446525.0,113809.0,443160.0,118586.0,stated,0.4375913494443331,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,5.843197241237027,1.869662198445175,False,Southampton,Hampshire,Between TfSE LTAs,Car / van,5 to <10 miles,4,8.0,06:00-10:00,Weekday,True,True,False,False,False,False,True,False,True,False,1,False,,2.0,2,4.0,20241120.0,9.0,12.0,4.0
6409985436,$trip1pipe,personal business,2024-11-19,Tuesday,10.0,Car/ van (as the driver),3.573838,6.437657,2.0,3,445796.0,130343.0,447107.0,129366.0,stated,1.3116695457005805,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,1.635007645242064,2.185823418257405,False,Hampshire,Hampshire,Within same LTA,Car / van,2 to <5 miles,3,10.0,10:00-15:00,Weekday,True,True,False,False,False,True,False,True,False,False,5,False,Not identified in validated chain,2.0,6,3.0,20241119.0,11.0,4.0,4.0
6409985436,$trip2pipe,leisure,2024-11-19,Tuesday,12.0,Car/ van (as the driver),3.401801,6.490628,2.0,3,445796.0,130343.0,448235.0,131151.0,stated,1.3116695457005805,2,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,2.569354977421376,1.3239902737822833,False,Hampshire,Hampshire,Within same LTA,Car / van,2 to <5 miles,3,12.0,10:00-15:00,Weekday,True,True,False,False,False,True,False,True,False,False,5,False,Not identified in validated chain,2.0,4,3.0,20241119.0,13.0,4.0,4.0
6409985436,$trip3pipe,personal business,2024-11-19,Tuesday,15.0,Car/ van (as the driver),1.627082,3.529786,1.0,2,445796.0,130343.0,446762.0,130884.0,stated,1.3116695457005805,3,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,1.1071752345496173,1.4695794750700626,False,Hampshire,Hampshire,Within same LTA,Car / van,1 to <2 miles,2,15.0,15:00-19:00,Weekday,True,True,False,False,False,True,False,True,False,False,5,False,Not identified in validated chain,2.0,6,2.0,20241119.0,16.0,4.0,4.0
6409985436,$trip4pipe,other,2024-11-19,Tuesday,17.0,Car/ van (as the driver),2.389072,4.463649,1.5,2,445796.0,130343.0,446849.0,132053.0,stated,1.3116695457005805,4,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,2.008210397343864,1.1896522411993675,False,Hampshire,Hampshire,Within same LTA,Car / van,1 to <2 miles,2,17.0,15:00-19:00,Weekday,True,True,False,False,False,True,False,True,False,False,5,False,Not identified in validated chain,2.0,5,2.0,20241119.0,18.0,4.0,4.0
6409985436,$trip5pipe,leisure,2024-11-19,Tuesday,19.0,Car/ van (as the driver),1.870526,3.776387,1.0,2,445796.0,130343.0,446372.0,131193.0,stated,1.3116695457005805,5,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,1.026779431036676,1.8217408174133805,False,Hampshire,Hampshire,Within same LTA,Car / van,1 to <2 miles,2,19.0,19:00-24:00,Weekday,True,True,False,False,False,True,False,True,False,False,5,False,Not identified in validated chain,2.0,4,2.0,20241119.0,20.0,4.0,4.0
6410567630,$trip1pipe,personal business,2024-11-22,Friday,9.0,Car/ van (as the driver),3.67754,7.665767,2.0,3,437234.0,122753.0,435057.0,121196.0,stated,1.3116695457005805,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,2.6764861292373627,1.374017955791864,False,Hampshire,Hampshire,Within same LTA,Car / van,2 to <5 miles,3,9.0,06:00-10:00,Weekday,True,True,False,False,False,True,False,True,False,False,2,True,Part of validated chain,2.0,6,3.0,20241122.0,10.0,4.0,4.0
6410567630,$trip2pipe,shopping,2024-11-22,Friday,10.0,Car/ van (as the driver),0.626993,2.532316,0.0,1,435057.0,121196.0,435413.0,121298.0,stated,1.3116695457005805,2,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,0.3703241823051797,1.6930922417680585,False,Hampshire,Hampshire,Within same LTA,Car / van,Under 1 mile,1,10.0,10:00-15:00,Weekday,True,True,False,False,False,True,False,True,False,False,2,True,Part of validated chain,2.0,7,1.0,20241122.0,11.0,4.0,4.0
